78925472,14,2022-02-18,75309,ASADO DEL CARNICERO/BIFE DE PALETA,2021-10-21,19.85
2021100753090,14,2022-02-18,75309,ASADO DEL CARNICERO/BIFE DE PALETA,2021-10-21,19
2021100753847,16,2022-02-18,75384,ASADO DEL CARNICERO/BIFE DE PALETA,2021-10-21,21.5
2021100754882,15,2022-02-18,75488,ASADO DEL CARNICERO/BIFE DE PALETA,2021-10-21,21.55
2021100755834,16,2022-02-18,75583,ASADO DEL CARNICERO/BIFE DE PALETA,2021-10-21,20.95
2021100757111,17,2022-02-18,75711,ASADO DEL CARNICERO/BIFE DE PALETA,2021-10-21,21.95
2021100757395,15,2022-02-18,75739,ASADO DEL CARNICERO/BIFE DE PALETA,2021-10-21,22.8
2021100757685,15,2022-02-18,75768,ASADO DEL CARNICERO/BIFE DE PALETA,2021-10-21,22.95
2021100758637,16,2022-02-18,75863,ASADO DEL CARNICERO/BIFE DE PALETA,2021-10-21,23
2021100758774,17,2022-02-18,75877,ASADO DEL CARNICERO/BIFE DE PALETA,2021-10-21,20.35
2021100759887,16,2022-02-18,75988,ASADO DEL CARNICERO/BIFE DE PALETA,2021-10-21,21.85
2021100760067,17,2022-02-18,76006,ASADO DEL CARNICERO/BIFE DE PALETA,2021-10-21,23.3
2021100760685,16,2022-02-18,76068,ASADO DEL CARNICERO/BIFE DE PALETA,2021-10-21,21.05
2021100761224,16,2022-02-18,76122,ASADO DEL CARNICERO/BIFE DE PALETA,2021-10-21,21.85
2021100762009,16,2022-02-18,76200,ASADO DEL CARNICERO/BIFE DE PALETA,2021-10-21,21.2
2021100763396,15,2022-02-18,76339,ASADO DEL CARNICERO/BIFE DE PALETA,2021-10-21,22.85
2021100763594,13,2022-02-18,76359,ASADO DEL CARNICERO/BIFE DE PALETA,2021-10-21,23.40
2021100764867,13,2022-02-18,76486,ASADO DEL CARNICERO/BIFE DE PALETA,2021-10-21,22.7
2021100765307,14,2022-02-18,76530,ASADO DEL CARNICERO/BIFE DE PALETA,2021-10-21,21.85
2021100765918,9,2022-02-18,76591,LOMO VETADO/BIFE ANCHO,2021-10-21,22.25
2021100766496,14,2022-02-18,76649,ASADO DEL CARNICERO/BIFE DE PALETA,2021-10-21,22.65
2021100766960,13,2022-02-18,76696,ASADO DEL CARNICERO/BIFE DE PALETA,2021-10-21,22.35
2021100767868,14,2022-02-18,76786,ASADO DEL CARNICERO/BIFE DE PALETA,2021-10-21,21.25
2021100767943,13,2022-02-18,76794,ASADO DEL CARNICERO/BIFE DE PALETA,2021-10-21,21.35
2021100769053,13,2022-02-18,76905,ASADO DEL CARNICERO/BIFE DE PALETA,2021-10-21,21.45
2021100769213,14,2022-02-18,76921,ASADO DEL CARNICERO/BIFE DE PALETA,2021-10-21,23.05
2021100769428,14,2022-02-18,76942,ASADO DEL CARNICERO/BIFE DE PALETA,2021-10-21,21.05
2021100770646,14,2022-02-18,77064,ASADO DEL CARNICERO/BIFE DE PALETA,2021-10-21,21.2
2021100773319,14,2022-02-18,77331,ASADO DEL CARNICERO/BIFE DE PALETA,2021-10-21,19.5
2021100773579,14,2022-02-18,77357,ASADO DEL CARNICERO/BIFE DE PALETA,2021-10-21,19.65
2021100776556,18,2022-02-18,77655,ASADO DEL CARNICERO/BIFE DE PALETA,2021-10-21,20
2021100876010,16,2022-02-23,87601,PLATEADA/TAPA DE BIFE,2021-10-26,19.6
2021100877086,5,2022-02-23,87708,POSTA DE PALETA/ PALETA,2021-10-26,22.95
2021100877154,5,2022-02-23,87715,POSTA DE PALETA/ PALETA,2021-10-26,21.45
2021100877246,5,2022-02-23,87724,POSTA DE PALETA/ PALETA,2021-10-26,20.1
2021100877420,5,2022-02-23,87742,POSTA DE PALETA/ PALETA,2021-10-26,19.35
2021100877437,5,2022-02-23,87743,POSTA DE PALETA/ PALETA,2021-10-26,21
2021100877642,4,2022-02-23,87764,POSTA DE PALETA/ PALETA,2021-10-26,19.05
2021100877734,6,2022-02-23,87773,POSTA DE PALETA/ PALETA,2021-10-26,22.95
2021100877741,5,2022-02-23,87774,POSTA DE PALETA/ PALETA,2021-10-26,21.1
2021100877758,6,2022-02-23,87775,POSTA DE PALETA/ PALETA,2021-10-26,20.5
2021100877949,12,2022-02-23,87794,ASADO DEL CARNICERO/BIFE DE PALETA,2021-10-26,20.95
2021100877987,5,2022-02-23,87798,POSTA DE PALETA/ PALETA,2021-10-26,20.05
2021100878106,5,2022-02-23,87810,POSTA DE PALETA/ PALETA,2021-10-26,20.55
2021100878267,6,2022-02-23,87826,POSTA DE PALETA/ PALETA,2021-10-26,20.8
2021100878311,14,2022-02-23,87831,ASADO DEL CARNICERO/BIFE DE PALETA,2021-10-26,20.8
2021100878434,5,2022-02-23,87843,POSTA DE PALETA/ PALETA,2021-10-26,20.25
2021100878519,4,2022-02-23,87851,POSTA DE PALETA/ PALETA,2021-10-26,19.90
2021100878663,6,2022-02-23,87866,POSTA DE PALETA/ PALETA,2021-10-26,21.35
2021100878793,6,2022-02-23,87879,POSTA DE PALETA/ PALETA,2021-10-26,22.35
2021100878854,14,2022-02-23,87885,ASADO DEL CARNICERO/BIFE DE PALETA,2021-10-26,22.45
2021100878939,6,2022-02-23,87893,POSTA DE PALETA/ PALETA,2021-10-26,20.15
2021100879646,7,2022-02-23,87964,POSTA DE PALETA/ PALETA,2021-10-26,23.2
2021100879721,6,2022-02-23,87972,POSTA DE PALETA/ PALETA,2021-10-26,23.3
2021100879912,6,2022-02-23,87991,POSTA DE PALETA/ PALETA,2021-10-26,21.45
2021100883162,14,2022-02-23,88316,ASADO DEL CARNICERO/BIFE DE PALETA,2021-10-26,22
2021100883179,6,2022-02-23,88317,POSTA DE PALETA/ PALETA,2021-10-26,21
2021100883261,7,2022-02-23,88326,POSTA DE PALETA/ PALETA,2021-10-26,23.85
2021100883292,6,2022-02-23,88329,POSTA DE PALETA/ PALETA,2021-10-26,19.7
2021100883353,6,2022-02-23,88335,POSTA DE PALETA/ PALETA,2021-10-26,21.90
2021100883490,6,2022-02-23,88349,POSTA DE PALETA/ PALETA,2021-10-26,21.75
2021100883629,6,2022-02-23,88362,POSTA DE PALETA/ PALETA,2021-10-26,20.90
2021100883674,14,2022-02-23,88367,ASADO DEL CARNICERO/BIFE DE PALETA,2021-10-26,17.7
2021100883865,6,2022-02-23,88386,POSTA DE PALETA/ PALETA,2021-10-26,21.85
2021100884084,6,2022-02-23,88408,POSTA DE PALETA/ PALETA,2021-10-26,22.40
2021100884442,6,2022-02-23,88444,POSTA DE PALETA/ PALETA,2021-10-26,21
2021100884541,14,2022-02-23,88454,ASADO DEL CARNICERO/BIFE DE PALETA,2021-10-26,20.65
2021100884657,7,2022-02-23,88465,POSTA DE PALETA/ PALETA,2021-10-26,23.55
2021100884909,6,2022-02-23,88490,POSTA DE PALETA/ PALETA,2021-10-26,21.7
2021100884923,7,2022-02-23,88492,POSTA DE PALETA/ PALETA,2021-10-26,22.90
2021100885029,14,2022-02-23,88502,ASADO DEL CARNICERO/BIFE DE PALETA,2021-10-26,20.45
2021100885074,6,2022-02-23,88507,POSTA DE PALETA/ PALETA,2021-10-26,20.3
2021100885203,14,2022-02-23,88520,ASADO DEL CARNICERO/BIFE DE PALETA,2021-10-26,19.35
2021100888549,14,2022-02-23,88854,ASADO DEL CARNICERO/BIFE DE PALETA,2021-10-26,21.35
2021100888600,16,2022-02-23,88860,ASADO DEL CARNICERO/BIFE DE PALETA,2021-10-26,19.35
2021100888716,6,2022-02-23,88871,POSTA DE PALETA/ PALETA,2021-10-26,20.65
2021100888754,20,2022-02-23,88875,PLATEADA/TAPA DE BIFE,2021-10-26,18.85
2021100890306,13,2022-02-23,89030,ASADO DEL CARNICERO/BIFE DE PALETA,2021-10-26,20.05
2021100890863,32,2022-02-23,89086,PALANCA/BIFE DE VACIO,2021-10-26,17.65
2021100891891,5,2022-02-24,89189,POSTA DE PALETA/ PALETA,2021-10-27,21.45
2021100892386,14,2022-02-24,89238,ABASTERO / TORTUGA,2021-10-27,21.65
2021100892409,5,2022-02-24,89240,POSTA DE PALETA/ PALETA,2021-10-27,21.25
2021100892478,6,2022-02-24,89247,POSTA DE PALETA/ PALETA,2021-10-27,20.05
2021100892928,5,2022-02-24,89292,POSTA DE PALETA/ PALETA,2021-10-27,21.40
2021100892935,6,2022-02-24,89293,POSTA DE PALETA/ PALETA,2021-10-27,23.25
2021100893116,6,2022-02-24,89311,POSTA DE PALETA/ PALETA,2021-10-27,21.2
2021100893222,14,2022-02-24,89322,ABASTERO / TORTUGA,2021-10-27,22.7
2021100893307,15,2022-02-24,89330,ABASTERO / TORTUGA,2021-10-27,23.6
2021100893420,5,2022-02-24,89342,POSTA DE PALETA/ PALETA,2021-10-27,20.85
2021100893437,36,2022-02-24,89343,PALANCA/BIFE DE VACIO,2021-10-27,23.1
2021100893857,6,2022-02-24,89385,POSTA DE PALETA/ PALETA,2021-10-27,21.85
2021100893932,6,2022-02-24,89393,POSTA DE PALETA/ PALETA,2021-10-27,23.25
2021100893963,5,2022-02-24,89396,POSTA DE PALETA/ PALETA,2021-10-27,20.55
2021100893970,5,2022-02-24,89397,POSTA DE PALETA/ PALETA,2021-10-27,20.5
2021100894021,6,2022-02-24,89402,POSTA DE PALETA/ PALETA,2021-10-27,22.7
2021100894090,15,2022-02-24,89409,ABASTERO / TORTUGA,2021-10-27,22.05
2021100894151,5,2022-02-24,89415,POSTA DE PALETA/ PALETA,2021-10-27,19.35
2021100894199,15,2022-02-24,89419,ABASTERO / TORTUGA,2021-10-27,22.5
2021100894250,5,2022-02-24,89425,POSTA DE PALETA/ PALETA,2021-10-27,19.40
2021100894397,6,2022-02-24,89439,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,22.55
2021100894656,6,2022-02-24,89465,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,22.45
2021100894663,5,2022-02-24,89466,POSTA DE PALETA/ PALETA,2021-10-27,18.90
2021100894687,36,2022-02-24,89468,PALANCA/BIFE DE VACIO,2021-10-27,22.65
2021100894816,6,2022-02-24,89481,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,22.95
2021100894830,5,2022-02-24,89483,POSTA DE PALETA/ PALETA,2021-10-27,21.85
2021100895004,14,2022-02-24,89500,ABASTERO / TORTUGA,2021-10-27,23.25
2021100895271,14,2022-02-24,89527,ABASTERO / TORTUGA,2021-10-27,22.3
2021100895370,18,2022-02-24,89537,PLATEADA/TAPA DE BIFE,2021-10-27,23.40
2021100895813,14,2022-02-24,89581,ABASTERO / TORTUGA,2021-10-27,22.95
2021100895875,16,2022-02-24,89587,PLATEADA/TAPA DE BIFE,2021-10-27,20.90
2021100896063,32,2022-02-24,89606,PALANCA/BIFE DE VACIO,2021-10-27,23.55
2021100896094,14,2022-02-24,89609,ABASTERO / TORTUGA,2021-10-27,22.65
2021100896162,5,2022-02-24,89616,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,21.6
2021100896230,6,2022-02-24,89623,HUACHALOMO/AGUJA,2021-10-27,21.40
2021100896353,14,2022-02-24,89635,ABASTERO / TORTUGA,2021-10-27,22.05
2021100896407,4,2022-02-24,89640,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,19.55
2021100896421,4,2022-02-24,89642,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,19.05
2021100896445,5,2022-02-24,89644,HUACHALOMO/AGUJA,2021-10-27,22.3
2021100896452,9,2022-02-24,89645,HUACHALOMO/AGUJA,2021-10-27,20.75
2021100896506,5,2022-02-24,89650,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,21.45
2021100896902,7,2022-02-24,89690,HUACHALOMO/AGUJA,2021-10-27,23.45
2021100896971,5,2022-02-24,89697,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,20.75
2021100897008,18,2022-02-24,89700,ABASTERO / TORTUGA,2021-10-27,23.7
2021100897206,5,2022-02-24,89720,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,22.40
2021100897343,4,2022-02-24,89734,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,19.6
2021100897480,5,2022-02-24,89748,HUACHALOMO/AGUJA,2021-10-27,19.5
2021100897527,18,2022-02-24,89752,ABASTERO / TORTUGA,2021-10-27,22.90
2021100897657,6,2022-02-24,89765,HUACHALOMO/AGUJA,2021-10-27,21.95
2021100897664,5,2022-02-24,89766,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,23.1
2021100897930,5,2022-02-24,89793,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,21.7
2021100898210,6,2022-02-24,89821,HUACHALOMO/AGUJA,2021-10-27,22.1
2021100898258,14,2022-02-24,89825,ABASTERO / TORTUGA,2021-10-27,23.05
2021100898364,12,2022-02-24,89836,ASADO DEL CARNICERO/BIFE DE PALETA,2021-10-27,22.75
2021100898562,4,2022-02-24,89856,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,23.35
2021100898715,6,2022-02-24,89871,HUACHALOMO/AGUJA,2021-10-27,19.15
2021100898838,14,2022-02-24,89883,ABASTERO / TORTUGA,2021-10-27,23.45
2021100898876,4,2022-02-24,89887,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,18.1
2021100899019,6,2022-02-24,89901,HUACHALOMO/AGUJA,2021-10-27,21.3
2021100899101,14,2022-02-24,89910,ABASTERO / TORTUGA,2021-10-27,22.05
2021100899149,4,2022-02-24,89914,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,18.1
2021100899194,4,2022-02-24,89919,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,19.3
2021100899347,4,2022-02-24,89934,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,20.25
2021100899354,6,2022-02-24,89935,HUACHALOMO/AGUJA,2021-10-27,19.5
2021100899408,5,2022-02-24,89940,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,23.2
2021100899583,7,2022-02-24,89958,HUACHALOMO/AGUJA,2021-10-27,20.95
2021100899644,5,2022-02-24,89964,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,22.35
2021100899705,6,2022-02-24,89970,HUACHALOMO/AGUJA,2021-10-27,20.15
2021100899781,4,2022-02-24,89978,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,20.8
2021100899873,6,2022-02-24,89987,HUACHALOMO/AGUJA,2021-10-27,22.5
2021100899880,8,2022-02-24,89988,LOMO VETADO/BIFE ANCHO,2021-10-27,22.15
2021100899934,4,2022-02-24,89993,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,19.40
2021100900050,14,2022-02-24,90005,ABASTERO / TORTUGA,2021-10-27,23.15
2021100900135,5,2022-02-24,90013,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,22.15
2021100900210,7,2022-02-24,90021,HUACHALOMO/AGUJA,2021-10-27,21.25
2021100900296,4,2022-02-24,90029,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,19.35
2021100900340,7,2022-02-24,90034,HUACHALOMO/AGUJA,2021-10-27,19.45
2021100900388,4,2022-02-24,90038,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,20.40
2021100900616,4,2022-02-24,90061,TAPAPECHO/PECHO,2021-10-27,19.7
2021100900647,30,2022-02-24,90064,PALANCA/BIFE DE VACIO,2021-10-27,23.8
2021100900692,5,2022-02-24,90069,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,20.75
2021100900821,4,2022-02-24,90082,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,20.7
2021100900876,4,2022-02-24,90087,TAPAPECHO/PECHO,2021-10-27,19.35
2021100900937,7,2022-02-24,90093,HUACHALOMO/AGUJA,2021-10-27,22.85
2021100901354,5,2022-02-24,90135,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,17.90
2021100901378,5,2022-02-24,90137,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,22.65
2021100901415,6,2022-02-24,90141,HUACHALOMO/AGUJA,2021-10-27,20.35
2021100901514,8,2022-02-24,90151,LOMO VETADO/BIFE ANCHO,2021-10-27,21.7
2021100901675,4,2022-02-24,90167,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,20.3
2021100901835,6,2022-02-24,90183,HUACHALOMO/AGUJA,2021-10-27,19.35
2021100902054,4,2022-02-24,90205,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,20.55
2021100902085,13,2022-02-24,90208,ABASTERO / TORTUGA,2021-10-27,21.65
2021100902108,5,2022-02-24,90210,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,21.55
2021100902160,5,2022-02-24,90216,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,22.25
2021100902221,6,2022-02-24,90222,HUACHALOMO/AGUJA,2021-10-27,22.25
2021100902801,6,2022-02-24,90280,HUACHALOMO/AGUJA,2021-10-27,21.7
2021100903228,5,2022-02-24,90322,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,22.75
2021100903242,5,2022-02-24,90324,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,22.5
2021100903358,7,2022-02-24,90335,HUACHALOMO/AGUJA,2021-10-27,18.7
2021100903457,4,2022-02-24,90345,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,19.5
2021100903723,4,2022-02-24,90372,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,19.55
2021100903808,7,2022-02-24,90380,HUACHALOMO/AGUJA,2021-10-27,20.40
2021100903945,32,2022-02-24,90394,PALANCA/BIFE DE VACIO,2021-10-27,23.85
2021100903976,5,2022-02-24,90397,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,21.90
2021100904065,4,2022-02-24,90406,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,19
2021100904089,7,2022-02-24,90408,HUACHALOMO/AGUJA,2021-10-27,20.6
2021100904225,4,2022-02-24,90422,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,19.75
2021100904362,5,2022-02-24,90436,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,20.15
2021100904447,4,2022-02-24,90444,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,22.45
2021100904546,4,2022-02-24,90454,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,19.1
2021100904850,4,2022-02-24,90485,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,18.7
2021100904904,8,2022-02-24,90490,HUACHALOMO/AGUJA,2021-10-27,21.35
2021100905420,7,2022-02-24,90542,HUACHALOMO/AGUJA,2021-10-27,20.75
2021100905512,4,2022-02-24,90551,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,20.8
2021100905529,4,2022-02-24,90552,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,21.65
2021100905604,7,2022-02-24,90560,HUACHALOMO/AGUJA,2021-10-27,21
2021100905826,4,2022-02-24,90582,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,20.1
2021100905925,5,2022-02-24,90592,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,21.45
2021100906038,7,2022-02-24,90603,HUACHALOMO/AGUJA,2021-10-27,19.1
2021100906212,7,2022-02-24,90621,HUACHALOMO/AGUJA,2021-10-27,19.3
2021100906793,7,2022-02-24,90679,HUACHALOMO/AGUJA,2021-10-27,19.7
2021100906885,5,2022-02-24,90688,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,23
2021100906892,7,2022-02-24,90689,HUACHALOMO/AGUJA,2021-10-27,20.45
2021100906953,4,2022-02-24,90695,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,20.45
2021100907042,5,2022-02-24,90704,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,21.95
2021100907196,5,2022-02-24,90719,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,22.6
2021100909633,5,2022-02-24,90963,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,19.90
2021100909718,5,2022-02-24,90971,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,16.75
2021100909770,4,2022-02-24,90977,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,19.2
2021100909831,6,2022-02-24,90983,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,19.2
2021100909947,6,2022-02-24,90994,HUACHALOMO/AGUJA,2021-10-27,21.6
2021100909978,6,2022-02-24,90997,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,20.75
2021100910004,9,2022-02-24,91000,HUACHALOMO/AGUJA,2021-10-27,19
2021100910073,6,2022-02-24,91007,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,18.65
2021100910196,10,2022-02-24,91019,HUACHALOMO/AGUJA,2021-10-27,20
2021100910226,6,2022-02-24,91022,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,24
2021100910288,6,2022-02-24,91028,POSTA DE PALETA/ PALETA,2021-10-27,22
2021100910318,6,2022-02-24,91031,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,23.25
2021100910349,10,2022-02-24,91034,HUACHALOMO/AGUJA,2021-10-27,20.75
2021100910400,6,2022-02-24,91040,POSTA DE PALETA/ PALETA,2021-10-27,22.2
2021100910431,6,2022-02-24,91043,SOBRECOSTILLA/SOBRECOSTILLA,2021-10-27,19.90
